Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0042832,defense response to protozoan,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.3,8.5,4.5,21160,42,177,3,1.7,0.97,15900|21822|60440,Irf8|Tgtp1|Iigp1,-0.27,MyList
GO Biological Processes,19,GO:0002252,immune effector process,19_GO:0002376 immune system process,-2.3,2.5,3.2,21160,531,177,11,6.2,1.8,14134|15900|16016|16182|16842|18089|18733|19419|238447|404711|780818,Fcnb|Irf8|Ighg2b|Il18r1|Lef1|Nkx2-3|Pirb|Rasgrp1|Igha|Ighg2c|Ighv11-2,-0.27,MyList
GO Biological Processes,19,GO:0050829,defense response to Gram-negative bacterium,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.3,4.5,3.7,21160,134,177,5,2.8,1.2,12504|12796|17002|17105|60440,Cd4|Camp|Ltf|Lyz2|Iigp1,-0.26,MyList
GO Biological Processes,19,GO:0071222,cellular response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.3,3,3.3,21160,318,177,8,4.5,1.6,12796|14728|15900|17084|17394|19204|215257|414084,Camp|Lilrb4a|Irf8|Ly86|Mmp8|Ptafr|Il36g|Tnip3,-0.26,MyList
GO Biological Processes,19,GO:0050870,positive regulation of T cell activation,19_GO:0002376 immune system process,-2.3,3.3,3.4,21160,253,177,7,4,1.5,11501|12487|12504|14728|16842|19373|19419,Adam8|Cd28|Cd4|Lilrb4a|Lef1|Rag1|Rasgrp1,-0.26,MyList
GO Biological Processes,19,GO:0007162,negative regulation of cell adhesion,19_GO:0048519 negative regulation of biological process,-2.2,3,3.3,21160,322,177,8,4.5,1.6,11501|14728|20555|20971|21825|23939|208154|240754,Adam8|Lilrb4a|Slfn1|Sdc4|Thbs1|Mapk7|Btla|Lax1,-0.23,MyList
GO Biological Processes,19,GO:0061082,myeloid leukocyte cytokine production,19_GO:0002376 immune system process,-2.2,8.2,4.4,21160,44,177,3,1.7,0.97,13861|19074|19419,Epx|Prg2|Rasgrp1,-0.23,MyList
GO Biological Processes,19,GO:0002455,humoral immune response mediated by circulating immunoglobulin,19_GO:0002376 immune system process,-2.2,8.2,4.4,21160,44,177,3,1.7,0.97,16016|238447|404711,Ighg2b|Igha|Ighg2c,-0.23,MyList
KEGG Pathway,24,mmu04970,Salivary secretion - Mus musculus (house mouse),,-2.2,5.5,3.9,21160,87,177,4,2.3,1.1,11555|12182|12796|17105,Adrb2|Bst1|Camp|Lyz2,-0.22,MyList
Reactome Gene Sets,6,R-MMU-416476,G alpha (q) signalling events,,-2.2,3.6,3.4,21160,197,177,6,3.4,1.4,14289|19204|20305|23939|78826|380921,Fpr2|Ptafr|Ccl6|Mapk7|P2ry10|Dgkh,-0.21,MyList
GO Biological Processes,19,GO:0050670,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-2.2,3.2,3.3,21160,260,177,7,4,1.5,12182|12487|12504|14728|20555|20971|208154,Bst1|Cd28|Cd4|Lilrb4a|Slfn1|Sdc4|Btla,-0.21,MyList
GO Biological Processes,19,GO:0071219,cellular response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.2,2.9,3.2,21160,327,177,8,4.5,1.6,12796|14728|15900|17084|17394|19204|215257|414084,Camp|Lilrb4a|Irf8|Ly86|Mmp8|Ptafr|Il36g|Tnip3,-0.21,MyList
GO Biological Processes,19,GO:0045580,regulation of T cell differentiation,19_GO:0002376 immune system process,-2.2,3.6,3.4,21160,198,177,6,3.4,1.4,11501|12487|14728|16842|19373|19419,Adam8|Cd28|Lilrb4a|Lef1|Rag1|Rasgrp1,-0.2,MyList
Reactome Gene Sets,6,R-MMU-1474244,Extracellular matrix organization,,-2.2,3.2,3.3,21160,262,177,7,4,1.5,11492|11501|12843|17394|17395|20971|240047,Adam19|Adam8|Col1a2|Mmp8|Mmp9|Sdc4|Mmp25,-0.2,MyList
GO Biological Processes,19,GO:0045807,positive regulation of endocytosis,19_GO:0051179 localization,-2.2,3.6,3.4,21160,199,177,6,3.4,1.4,14134|14289|16016|20620|216190|246746,Fcnb|Fpr2|Ighg2b|Plk2|Appl2|Cd300lf,-0.2,MyList
GO Biological Processes,19,GO:0002701,negative regulation of production of molecular mediator of immune response,19_GO:0002376 immune system process,-2.2,7.8,4.2,21160,46,177,3,1.7,0.97,13861|14728|19074,Epx|Lilrb4a|Prg2,-0.2,MyList
GO Biological Processes,19,GO:0002021,response to dietary excess,19_GO:0042592 homeostatic process,-2.2,7.8,4.2,21160,46,177,3,1.7,0.97,11555|19017|216190,Adrb2|Ppargc1a|Appl2,-0.2,MyList
GO Biological Processes,19,GO:0042129,regulation of T cell proliferation,19_GO:0002376 immune system process,-2.2,3.6,3.4,21160,200,177,6,3.4,1.4,12487|12504|14728|20555|20971|208154,Cd28|Cd4|Lilrb4a|Slfn1|Sdc4|Btla,-0.19,MyList
GO Biological Processes,19,GO:0032944,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-2.2,3.2,3.2,21160,265,177,7,4,1.5,12182|12487|12504|14728|20555|20971|208154,Bst1|Cd28|Cd4|Lilrb4a|Slfn1|Sdc4|Btla,-0.18,MyList
GO Biological Processes,19,GO:0002688,regulation of leukocyte chemotaxis,19_GO:0040011 locomotion,-2.1,4.2,3.5,21160,143,177,5,2.8,1.2,12182|12768|14289|21825|27226,Bst1|Ccr1|Fpr2|Thbs1|Pla2g7,-0.18,MyList
GO Biological Processes,19,GO:0050868,negative regulation of T cell activation,19_GO:0002376 immune system process,-2.1,4.2,3.5,21160,143,177,5,2.8,1.2,14728|20555|20971|208154|240754,Lilrb4a|Slfn1|Sdc4|Btla|Lax1,-0.18,MyList
GO Biological Processes,19,GO:0001562,response to protozoan,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.1,7.6,4.2,21160,47,177,3,1.7,0.97,15900|21822|60440,Irf8|Tgtp1|Iigp1,-0.18,MyList
GO Biological Processes,19,GO:0010951,negative regulation of endopeptidase activity,19_GO:0048519 negative regulation of biological process,-2.1,4.2,3.5,21160,144,177,5,2.8,1.2,15370|17002|17395|19373|21825,Nr4a1|Ltf|Mmp9|Rag1|Thbs1,-0.17,MyList
WikiPathways,27,WP4466,Oxidative stress and redox pathway,,-2.1,5.2,3.7,21160,92,177,4,2.3,1.1,13058|14871|20201|20202,Cybb|Gstt1|S100a8|S100a9,-0.17,MyList
Reactome Gene Sets,6,R-MMU-1592389,Activation of Matrix Metalloproteinases,,-2.1,7.5,4.1,21160,48,177,3,1.7,0.97,17394|17395|240047,Mmp8|Mmp9|Mmp25,-0.16,MyList
Reactome Gene Sets,6,R-MMU-418594,G alpha (i) signalling events,,-2.1,3.1,3.2,21160,269,177,7,4,1.5,12768|12769|12771|14289|18574|20305|54393,Ccr1|Ccr9|Ccr3|Fpr2|Pde1b|Ccl6|Gabbr1,-0.16,MyList
WikiPathways,27,WP1396,GPCRs non odorant,,-2.1,3.1,3.2,21160,269,177,7,4,1.5,11555|12768|12769|12771|19204|54393|78826,Adrb2|Ccr1|Ccr9|Ccr3|Ptafr|Gabbr1|P2ry10,-0.16,MyList
GO Biological Processes,19,GO:0045621,positive regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-2.1,4.1,3.4,21160,146,177,5,2.8,1.2,11501|14728|16842|19373|19419,Adam8|Lilrb4a|Lef1|Rag1|Rasgrp1,-0.16,MyList
GO Biological Processes,19,GO:0045670,regulation of osteoclast differentiation,19_GO:0002376 immune system process,-2.1,5.1,3.7,21160,93,177,4,2.3,1.1,11501|12768|14728|17002,Adam8|Ccr1|Lilrb4a|Ltf,-0.16,MyList
GO Biological Processes,19,GO:0006914,autophagy,19_GO:0009987 cellular process,-2.1,2.8,3.1,21160,339,177,8,4.5,1.6,15900|20201|20202|21822|60440|231931|244183|620913,Irf8|S100a8|S100a9|Tgtp1|Iigp1|Gimap6|Trim30b|Gm12185,-0.16,MyList
GO Biological Processes,19,GO:0061919,process utilizing autophagic mechanism,19_GO:0009987 cellular process,-2.1,2.8,3.1,21160,339,177,8,4.5,1.6,15900|20201|20202|21822|60440|231931|244183|620913,Irf8|S100a8|S100a9|Tgtp1|Iigp1|Gimap6|Trim30b|Gm12185,-0.16,MyList
GO Biological Processes,19,GO:1904645,response to amyloid-beta,19_GO:0050896 response to stimulus,-2.1,7.3,4.1,21160,49,177,3,1.7,0.97,11555|14289|17395,Adrb2|Fpr2|Mmp9,-0.16,MyList
GO Biological Processes,19,GO:0060323,head morphogenesis,19_GO:0032502 developmental process,-2.1,7.3,4.1,21160,49,177,3,1.7,0.97,16842|78892|83691,Lef1|Crispld2|Crispld1,-0.16,MyList
GO Biological Processes,19,GO:0051251,positive regulation of lymphocyte activation,19_GO:0002376 immune system process,-2.1,2.8,3.1,21160,340,177,8,4.5,1.6,11501|12182|12487|12504|14728|16842|19373|19419,Adam8|Bst1|Cd28|Cd4|Lilrb4a|Lef1|Rag1|Rasgrp1,-0.16,MyList
GO Biological Processes,19,GO:0098609,cell-cell adhesion,19_GO:0009987 cellular process,-2.1,2.4,3,21160,488,177,10,5.6,1.7,11501|14735|16842|17967|20201|20202|21825|59308|68891|76905,Adam8|Gpc4|Lef1|Ncam1|S100a8|S100a9|Thbs1|Emcn|Cd177|Lrg1,-0.15,MyList
GO Biological Processes,19,GO:0050864,regulation of B cell activation,19_GO:0002376 immune system process,-2.1,4,3.4,21160,148,177,5,2.8,1.2,12182|12487|14728|208154|242248,Bst1|Cd28|Lilrb4a|Btla|Bank1,-0.15,MyList
KEGG Pathway,24,mmu05418,Fluid shear stress and atherosclerosis - Mus musculus (house mouse),,-2.1,4,3.4,21160,148,177,5,2.8,1.2,14871|17395|20971|23939|225884,Gstt1|Mmp9|Sdc4|Mapk7|Gstp3,-0.15,MyList
KEGG Pathway,24,mmu00983,Drug metabolism - other enzymes - Mus musculus (house mouse),,-2.1,5,3.6,21160,95,177,4,2.3,1.1,14871|22436|72361|225884,Gstt1|Xdh|Ces2g|Gstp3,-0.15,MyList
Reactome Gene Sets,6,R-MMU-1442490,Collagen degradation,,-2.1,7.2,4,21160,50,177,3,1.7,0.97,12843|17394|17395,Col1a2|Mmp8|Mmp9,-0.14,MyList
GO Biological Processes,19,GO:0050672,negative regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-2,4.9,3.6,21160,97,177,4,2.3,1.1,14728|20555|20971|208154,Lilrb4a|Slfn1|Sdc4|Btla,-0.12,MyList
GO Biological Processes,19,GO:0045444,fat cell differentiation,19_GO:0032502 developmental process,-2,3.9,3.3,21160,153,177,5,2.8,1.2,11555|12395|15370|66107|76905,Adrb2|Runx1t1|Nr4a1|Wfdc21|Lrg1,-0.11,MyList
GO Biological Processes,19,GO:0046651,lymphocyte proliferation,19_GO:0002376 immune system process,-2,3.9,3.3,21160,153,177,5,2.8,1.2,12487|14728|16842|19419|20555,Cd28|Lilrb4a|Lef1|Rasgrp1|Slfn1,-0.11,MyList
GO Biological Processes,19,GO:0010762,regulation of fibroblast migration,19_GO:0040011 locomotion,-2,6.9,3.9,21160,52,177,3,1.7,0.97,20971|21825|216190,Sdc4|Thbs1|Appl2,-0.11,MyList
GO Biological Processes,19,GO:0070232,regulation of T cell apoptotic process,19_GO:0050789 regulation of biological process,-2,6.9,3.9,21160,52,177,3,1.7,0.97,11501|19373|243374,Adam8|Rag1|Gimap8,-0.11,MyList
GO Biological Processes,19,GO:0006897,endocytosis,19_GO:0051179 localization,-2,2.4,2.9,21160,500,177,10,5.6,1.7,11423|11555|11687|14134|14728|15900|16016|17910|21825|208943,Ache|Adrb2|Alox15|Fcnb|Lilrb4a|Irf8|Ighg2b|Myo15a|Thbs1|Myo5c,-0.11,MyList
GO Biological Processes,19,GO:0045069,regulation of viral genome replication,19_GO:0016032 viral process,-2,4.8,3.5,21160,99,177,4,2.3,1.1,17002|23962|213002|246728,Ltf|Oasl2|Ifitm6|Oas2,-0.11,MyList
GO Biological Processes,19,GO:0032945,negative regulation of mononuclear cell proliferation,19_GO:0048519 negative regulation of biological process,-2,4.8,3.5,21160,99,177,4,2.3,1.1,14728|20555|20971|208154,Lilrb4a|Slfn1|Sdc4|Btla,-0.11,MyList
GO Biological Processes,19,GO:0006909,phagocytosis,19_GO:0051179 localization,-2,3.9,3.3,21160,154,177,5,2.8,1.2,11687|14134|15900|16016|21825,Alox15|Fcnb|Irf8|Ighg2b|Thbs1,-0.11,MyList
GO Biological Processes,19,GO:0001936,regulation of endothelial cell proliferation,19_GO:0050789 regulation of biological process,-2,3.9,3.3,21160,154,177,5,2.8,1.2,12771|15370|21825|22436|76905,Ccr3|Nr4a1|Thbs1|Xdh|Lrg1,-0.11,MyList
GO Biological Processes,19,GO:0043065,positive regulation of apoptotic process,19_GO:0048518 positive regulation of biological process,-2,2.2,2.8,21160,660,177,12,6.8,1.9,11501|11555|15370|15900|16819|17395|19017|20201|20202|20259|21825|338372,Adam8|Adrb2|Nr4a1|Irf8|Lcn2|Mmp9|Ppargc1a|S100a8|S100a9|Scin|Thbs1|Map3k9,-0.1,MyList
GO Biological Processes,19,GO:0071675,regulation of mononuclear cell migration,19_GO:0040011 locomotion,-2,3.9,3.3,21160,155,177,5,2.8,1.2,11501|12768|14289|21825|27226,Adam8|Ccr1|Fpr2|Thbs1|Pla2g7,-0.1,MyList
